video_id,video_title,video_description,channel_title,date_upload,view_count,like_count,favorite_count,comment_count
xC-c7E5PK0Y,What REALLY is Data Science? Told by a Data Scientist,MERCH IS OUT FOR PRE-SALE: https://shopdoggos.com/ Order before March 27 before the pre-sale ends! More about the ...,Joma Tech,2018-06-23,3347359,129564,0,3610
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Advanced Certificate Program In Data Science: ...,Simplilearn,2018-12-04,3312461,48545,0,1085
-ETQ97mXXF0,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,"Data Science Master Program (Use Code ""YOUTUBE20""): ...",edureka!,2019-08-18,3073900,64512,0,683
FvGRKQipTP8,See Part 2 with the Data Scientist in the comments...,Watch Part 2 here: https://www.youtube.com/watch?v=NGvHVpFSJk8.,The Final Round,2022-07-11,2910837,90721,0,1368
LHBE6Q9XlzI,"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",This Python data science course will take you from knowing nothing about Python to coding and analyzing data with Python using ...,freeCodeCamp.org,2020-06-02,2794386,67824,0,1284
k2P_pHQDlp0,AI VS ML VS DL VS Data Science,Please do subscribe my vlogging channel for motivational videos ...,Krish Naik,2019-11-26,2484089,60165,0,1620
de7ZUb1fH3s,A Day in The Life of a Data Scientist 👨🏻‍💻| upGrad,"Hi, I'm Prashant Kathuria, a data scientist, passionate coder and Deep Learning enthusiast. This is a video of one day of my life at ...",upGrad,2019-11-22,2263408,0,0,656
csG_qfOTvxw,How To Learn Data Science Smartly?,Hello All in this video we will understand how we can learn Data Science Smartly Please join as a member in my channel to get ...,Krish Naik,2019-08-22,1546651,49841,0,1308
jtn-hRJjl68,What is Data Science? | Complete RoadMap | Simply Explained,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...,Apna College,2021-11-11,1474444,72938,0,2142
t8JRidxZCXU,What is Data Science?,What exactly is data science - A question many beginners ask. This video will answer this question and will teach you exactly what ...,CodeWithHarry,2021-06-07,1414657,55305,0,1433
XnNzck5-HdQ,Complete Roadmap to Become a Data Scientist,How to become a Data Scientist: Become a self taught data scientist using this learning path. This video will teach you about data ...,CodeWithHarry,2020-09-23,1361751,75155,0,3972
CSdpk6NzvhY,A Day in The Life of a Google Data Scientist (Analytics),"A Day in Life WFH: https://youtu.be/GQzMiCBZw6Q Hi friends, sharing a typical day in my life at Google. I have been at Google for ...",Sundas Khalid,2021-10-07,834080,18023,0,748
MkooBL3tmyM,Fix this before you choose Data Science! #datascientist #shorts #developer #programming,Looking for career guidance and Hike Guaranteed Career Transition Programs? Join our Career Transition Programs. Start your ...,BEPEC by Kanth - #BuildExperience & Get Hired!,2021-07-08,825368,30157,0,221
9ndQovLzXVQ,A Complete Guide To Become A Data Scientist🚀,Registration Link - https://relvl.co/hla4 Job Details Page Link- Business Development: upGrad(BD) https://relvl.co/8rr Urban ...,Rahul M,2022-03-14,709853,18139,0,819
sOZ8MxFw8TQ,Why you should not be a data scientist,"NEWSLETTER: https://tinahuang.substack.com/ It's about learning, coding, and generally how to get your sh*t together c: I've ...",Tina Huang,2021-09-19,682375,19528,0,946
7ZcmboYbNPQ,The man who saved New York City using Data Science,MERCH IS OUT FOR PRE-SALE: https://shopdoggos.com/ Order before March 27 before the pre-sale ends! More about the ...,Joma Tech,2021-11-02,614511,45301,0,2104
mtTiu0rxy-4,Data Scientist in Germany 🇩🇪 |,Data Science mein succeed hone ke liye kya skills chahye ? #datascience #datascientist #computerscience #ai #ml #tu ...,Nikhilesh Dhure,2023-02-08,505819,32065,0,0
KxryzSO1Fjs,What is Data Science? | Introduction to Data Science | Data Science for Beginners | Simplilearn,Advanced Certificate Program In Data Science: ...,Simplilearn,2018-04-17,452960,6197,0,340
Q6GfF8fB7E4,6 Certifications In Data Science But No Jobs- Sharing A True Story-Focus More On Data Science Jobs,Kite is a free AI-powered coding assistant that will help you code faster and smarter. The Kite plugin integrates with all the top ...,Krish Naik,2020-12-31,424341,12507,0,743
pn0PUY0jwGQ,The Harsh Reality of Being a Data Scientist,"Data Scientist is a great role to be in but it comes with its cons. In this video, we are discussing the unglamorous side of data ...",Sundas Khalid,2022-08-03,400686,7482,0,1028
IvfORHxKYUU,How to Become a Data Scientist With Full Information? – [Hindi] – Quick Support,HowtoBecomeaDataScientist? #QuickSupport #Career How to Become a Data Scientist With Full Information? – [Hindi] – Quick ...,Quick Support,2021-05-31,398611,18497,0,752
rIwlzFmifi8,Data Analyst:இது தெரிஞ்சா போதும் கை நெறைய சம்பளம் வாங்கலாம்|Data science in Tamil |Research analyst,Contact here to join Rajalakshmi Eduverse to get IT Job as Data Scientist: Ph : 9176827682 Website : www.myeduverse.net In this ...,Theneer Idaivelai,2022-08-27,391675,13958,0,542
KdgQvgE3ji4,Data Science in 8 Minutes | Data Science for Beginners | What is Data Science? | Edureka,"Data Scientist Masters Program (Use Code ""YOUTUBE20""): ...",edureka!,2019-03-31,367865,8435,0,67
JUkSeqe1eYQ,How to choose between software engineering and data science | 5 Key Considerations,"Software Engineering vs Data Science? Last year, I made a choice between a software engineering and a data science position.",Tina Huang,2020-07-22,365663,16742,0,655
xvEKQefqQ7A,🔥Data Science Full Course 2022 | Data Science | Data Science For Beginners | Simplilearn,Advanced Certificate Program In Data Science: ...,Simplilearn,2022-01-14,346827,5858,0,49
F608hzn_ygo,Data Science: Introdução a Ciência de Dados (Primeira aula prática programando em Python),ALURA COM 10% DE DESCONTO: https://www.alura.com.br/promocao/news-deschamps ✓ ÍNDICE: 01 - Diferença entre todos ...,Filipe Deschamps,2019-09-23,341952,21758,0,505
0QYhaFyftLM,"Data Scientist vs Data Analyst vs Data Engineer - Role, Skills, Salary, Demand | Intellipaat",Intellipaat Data Science Architect Master's course: http://bit.ly/2MTKgR1 In this video you will learn about the difference between ...,Intellipaat,2019-06-17,326327,6273,0,324
PeIJngh9VjE,Data Analytics 3 months roadmap #dataanalytics #datascience #upgradeskill #livetraining,,Aditi Gupta,2022-08-05,324879,22333,0,300
mEWNgapblkk,Live Mock Interview For Data Analyst| Data Science  By Ranjan Sir | Datagyan,"Data Gyan, Bangalore is the most preferred institute for freshers & working professionals. IIT Kharagpur recognize that Data ...",Data Gyan,2021-05-23,310714,7633,0,146
cTgGJpPiqjk,Don’t waste money in data science courses | Reality behind data science | Ranjan Sir | DataGyan,"datascience #dataanalytics #datagyan Data Gyan, Bangalore is the most preferred institute for freshers & working professionals.",Data Gyan,2022-12-18,275288,2123,0,209
Q9tXV5fen5A,Data Science Roles &amp; Average Salaries in India,Data Science Roles & Average Salaries in India Get equipped with the knowledge and skills required to thrive in the field that will ...,Data Folkz,2022-06-25,248066,6649,0,86
XW0YptcgZSk,Data Scientist vs Data Analyst vs Data Engineer: What&#39;s the difference?,Twitter: https://twitter.com/dataiku Instagram: https://www.instagram.com/dataiku/ From Joma Media https://www.joma.media/,Recall by Dataiku,2022-04-29,246402,9545,0,171
4hYOkHijtNw,Project - 1 | Data Analysis with Python | #DataScience | Weather Dataset,Get - Source Code of this project ( Rs.29 ) within 5 minutes - https://rzp.io/l/project1sourcecode ...,DATA SCIENCE LOVERS,2020-04-23,231942,4300,0,263
5JZsSNLXXuE,Data Science Interview Questions | Data Science Interview Questions Answers And Tips | Simplilearn,Professional Certificate Program In Data Science: ...,Simplilearn,2018-11-08,225618,3994,0,91
XuX5KKLY2Po,Reality of Data science job in 2022 #datascience #datasciencejobs #career #youtubeshorts #shorts,Reality of Data Science Job in 2022 Start your Full Stack Data Science Journey @3499/- ...,BEPEC by Kanth - #BuildExperience & Get Hired!,2022-02-05,208342,9218,0,128
nfZ_ZPU6u9g,"What is Data Science in Hindi, Scope in India, Jobs, Skills Required, Data Scientist Salary in India","What is Data Science in Hindi, Scope in India, Jobs, Skills Required, Data Scientist Salary in India ✓✓Get Internet Business ...",Ujjwal Kumar Sen,2021-11-01,203974,6731,0,203
